,station_id,arrival_time,returns
855,26,990-1005,2
856,27,1005-1020,1
857,27,1020-1035,1
858,27,1035-1050,1
859,27,1050-1065,6
860,27,1065-1080,2
861,27,1095-1110,1
862,27,1110-1125,2
863,27,1125-1140,1
864,27,1140-1155,1
865,27,1155-1170,1
866,27,1200-1215,1
867,27,1215-1230,1
868,27,1230-1245,2
869,27,1245-1260,1
870,27,1365-1380,1
871,27,405-420,1
872,27,420-435,1
873,27,435-450,3
874,27,495-510,1
875,27,510-525,1
876,27,525-540,1
877,27,60-75,1
878,27,600-615,1
879,27,615-630,1
880,27,630-645,1
881,27,675-690,1
882,27,690-705,1
883,27,705-720,1
884,27,735-750,1
885,27,795-810,1
886,27,825-840,1
887,27,840-855,1
888,27,915-930,1
889,27,960-975,2
890,27,975-990,3
891,27,990-1005,4
892,28,1005-1020,1
893,28,1020-1035,6
894,28,1035-1050,1
895,28,1050-1065,3
896,28,1095-1110,2
897,28,1110-1125,2
898,28,1170-1185,1
899,28,1185-1200,1
900,28,1200-1215,1
901,28,1245-1260,1
902,28,1275-1290,2
903,28,180-195,1
904,28,420-435,1
905,28,495-510,1
906,28,555-570,1
907,28,645-660,1
908,28,705-720,1
909,28,750-765,3
910,28,765-780,1
911,28,825-840,1
912,28,870-885,1
913,28,885-900,2
914,28,930-945,1
915,28,960-975,2
916,28,975-990,2
917,28,990-1005,1
918,29,1005-1020,1
919,29,1020-1035,3
920,29,1035-1050,2
921,29,1050-1065,5
922,29,1065-1080,4
923,29,1095-1110,2
924,29,1110-1125,2
925,29,1125-1140,2
926,29,1140-1155,2
927,29,1290-1305,1
928,29,1320-1335,2
929,29,1335-1350,1
930,29,180-195,1
931,29,420-435,1
932,29,435-450,3
933,29,450-465,2
934,29,465-480,1
935,29,480-495,2
936,29,510-525,1
937,29,525-540,1
938,29,585-600,1
939,29,615-630,1
940,29,645-660,2
941,29,660-675,1
942,29,690-705,2
943,29,705-720,1
944,29,735-750,2
945,29,75-90,1
946,29,780-795,2
947,29,810-825,1
948,29,825-840,1
949,29,855-870,3
950,29,870-885,2
951,29,915-930,1
952,29,945-960,1
953,29,960-975,3
954,29,975-990,1
955,29,990-1005,1
956,29,Unknown,1
